# ===================================================================
#                          METADATA
# ===================================================================
# 1. Title: Experimental data of Im4TFSA used in the artile 
# "Ionic Liquid--Electrode Interface: from One Law To Fit Them All to One Model To Predict Them All".
# 2. DOI: https://doi.org/10.1016/j.elecom.2025.108049
# 3. Authors:
#    - Ba Long Nguyen (ORCID: 0009-0003-7682-9851)
#    - Vladislav Ivanistsev (ORCID: 0000-0003-4517-0540)
# 4. Contact: balongn99@gmail.com & vladislav.ivanistsev@gmail.com
# 5. Keywords: differential capacitance, ionic liquids, modelling, fitting.
# 6. Data source DOI: https://doi.org/10.1039/C003920A
# 7. Data Format:
#     - Units: Potential (V), Capacitance (μF/cm²), Surface Charge Density (μC/cm²)
#-----------------------------------------------------------
Q,U
-19.1524,-1.6
-18.0745,-1.5
-17.0066,-1.4
-15.93275,-1.3
-14.84825,-1.2
-13.7432,-1.1
-12.60265,-1.0
-11.4214,-0.9
-10.20705,-0.8
-8.9657,-0.7
-7.71115,-0.6
-6.4434,-0.5
-5.1702,-0.4
-3.9124,-0.3
-2.6485,-0.2
-1.3492,-0.1
0.0,0.0
1.4887,0.1
3.2117,0.2
5.1362,0.3
7.17715,0.4
9.3385,0.5
11.63345,0.6
13.986,0.7
16.34958126,0.8
18.70746719,0.9
