# ===================================================================
#                          METADATA
# ===================================================================
# 1. Title: MD simulations data of N1144TFSA used in the artile 
# "Ionic Liquid--Electrode Interface: from One Law To Fit Them All to One Model To Predict Them All".
# 2. DOI: https://doi.org/10.1016/j.elecom.2025.108049
# 3. Authors:
#    - Ba Long Nguyen (ORCID: 0009-0003-7682-9851)
#    - Vladislav Ivanistsev (ORCID: 0000-0003-4517-0540)
# 4. Contact: balongn99@gmail.com & vladislav.ivanistsev@gmail.com
# 5. Keywords: differential capacitance, ionic liquids, modelling, fitting.
# 6. Data source DOI: https://doi.org/10.1021/acs.jpcc.0c00795
# 7. Data Format:
#     - Units: Potential (V), Capacitance (μF/cm²), Surface Charge Density (μC/cm²)
#-----------------------------------------------------------
U,C,dC
-8.8654072,3.0441661,0.0455846
-7.9306557,3.2481886,0.01767655
-7.0050661,3.5657465,0.039734544
-6.1780256,3.7689075,0.090192538
-5.4940108,3.8969208,0.073133347
-4.666761,3.9540713,0.082483908
-3.8733266,3.8935489,0.049458109
-3.1571084,4.1769831,0.099132595
-2.3580143,4.5893008,0.11216115
-1.7975436,5.2306263,0.11354059
-1.2521956,6.2075039,0.05854256
-0.81373714,7.009428,0.073762804
-0.4094232,7.9203937,0.046726256
-0.057718006,8.2969356,0.1544541
0.28247906,8.4406954,0.082359485
0.6662099,8.3125825,0.082520473
1.0233817,8.3906745,0.063849271
1.3942538,7.7516559,0.3294166
1.7239589,7.1579263,0.28049373
2.2702502,6.616438,0.25208701
2.7017659,6.1187754,0.15630168
3.1950107,5.8196756,0.016031754
3.737417,5.0907541,0.045311861
4.3554723,4.266671,0.064660344
5.0972423,3.8089723,0.11975131
6.0656409,3.454309,0.082470792
6.8587863,3.3070536,0.20614735
